Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat B (Cars above 1600cc or 97kW),1272,12889,1413,1240
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat C (Goods vehicles and buses),508,1,490,490
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat D (Motorcycles),454,1210,684,448
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat E (Open),1290,13499,1708,1203
January 2005 First Open Bidding Exercise,1/1/2005,2005,Cat A (Cars up to 1600cc and 97kW),2513,18400,2677,2512
January 2005 First Open Bidding Exercise,1/1/2005,2005,Cat B (Cars above 1600cc or 97kW),1139,14002,1311,1139
January 2005 First Open Bidding Exercise,1/1/2005,2005,Cat C (Goods vehicles and buses),672,3710,790,671
January 2005 First Open Bidding Exercise,1/1/2005,2005,Cat D (Motorcycles),499,552,598,426
January 2005 First Open Bidding Exercise,1/1/2005,2005,Cat E (Open),1336,19295,1725,1335
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat A (Cars up to 1600cc and 97kW),2513,19501,3793,2508
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat B (Cars above 1600cc or 97kW),1148,19502,1834,1145
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat C (Goods vehicles and buses),681,4189,830,681
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat D (Motorcycles),527,511,765,523
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat E (Open),1338,19002,1890,1301
February 2005 First Open Bidding Exercise,1/2/2005,2005,Cat A (Cars up to 1600cc and 97kW),2514,18200,3394,2511
February 2005 First Open Bidding Exercise,1/2/2005,2005,Cat B (Cars above 1600cc or 97kW),1137,16533,1450,1137
February 2005 First Open Bidding Exercise,1/2/2005,2005,Cat C (Goods vehicles and buses),673,4301,850,672
February 2005 First Open Bidding Exercise,1/2/2005,2005,Cat D (Motorcycles),572,224,605,554
February 2005 First Open Bidding Exercise,1/2/2005,2005,Cat E (Open),1337,17300,1809,1335
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat A (Cars up to 1600cc and 97kW),2518,18159,3140,2511
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat B (Cars above 1600cc or 97kW),1140,16891,1443,1137
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat C (Goods vehicles and buses),672,4499,794,667
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat D (Motorcycles),503,512,830,444
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat E (Open),1372,17999,2168,1348
March 2005 First Open Bidding Exercise,1/3/2005,2005,Cat A (Cars up to 1600cc and 97kW),2516,20654,3784,2509
March 2005 First Open Bidding Exercise,1/3/2005,2005,Cat B (Cars above 1600cc or 97kW),1137,21710,1656,1134
March 2005 First Open Bidding Exercise,1/3/2005,2005,Cat C (Goods vehicles and buses),673,6590,849,672
March 2005 First Open Bidding Exercise,1/3/2005,2005,Cat D (Motorcycles),517,851,897,505
March 2005 First Open Bidding Exercise,1/3/2005,2005,Cat E (Open),1338,21999,1961,1336
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat A (Cars up to 1600cc and 97kW),2520,18901,3176,2449
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat B (Cars above 1600cc or 97kW),1140,18001,1355,1133
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat C (Goods vehicles and buses),677,7100,823,669
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat D (Motorcycles),558,781,1131,456
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat E (Open),1359,19001,1799,1337
April 2005 First Open Bidding Exercise,1/4/2005,2005,Cat A (Cars up to 1600cc and 97kW),2200,18279,2685,2200
April 2005 First Open Bidding Exercise,1/4/2005,2005,Cat B (Cars above 1600cc or 97kW),1103,16110,1367,1103
April 2005 First Open Bidding Exercise,1/4/2005,2005,Cat C (Goods vehicles and buses),589,7100,733,582
April 2005 First Open Bidding Exercise,1/4/2005,2005,Cat D (Motorcycles),519,603,720,515
April 2005 First Open Bidding Exercise,1/4/2005,2005,Cat E (Open),1140,18802,1792,1140
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat A (Cars up to 1600cc and 97kW),2264,18101,2563,2203
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat B (Cars above 1600cc or 97kW),1107,17701,1357,1107
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat C (Goods vehicles and buses),596,6841,712,596
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat D (Motorcycles),608,591,898,608
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat E (Open),1160,18000,1694,1147
May 2005 First Open Bidding Exercise,1/5/2005,2005,Cat A (Cars up to 1600cc and 97kW),2193,17398,2594,2185
May 2005 First Open Bidding Exercise,1/5/2005,2005,Cat B (Cars above 1600cc or 97kW),1100,16508,1339,1087
May 2005 First Open Bidding Exercise,1/5/2005,2005,Cat C (Goods vehicles and buses),595,5800,686,594
May 2005 First Open Bidding Exercise,1/5/2005,2005,Cat D (Motorcycles),511,702,736,408
May 2005 First Open Bidding Exercise,1/5/2005,2005,Cat E (Open),1138,17699,1719,1125
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat A (Cars up to 1600cc and 97kW),2254,16897,2548,2251
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat B (Cars above 1600cc or 97kW),1100,16108,1322,1087
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat C (Goods vehicles and buses),588,5900,719,583
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat D (Motorcycles),506,782,700,506
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat E (Open),1150,17399,1695,1135
June 2005 First Open Bidding Exercise,1/6/2005,2005,Cat A (Cars up to 1600cc and 97kW),2201,17481,2873,2174
June 2005 First Open Bidding Exercise,1/6/2005,2005,Cat B (Cars above 1600cc or 97kW),1113,16002,1346,1099
June 2005 First Open Bidding Exercise,1/6/2005,2005,Cat C (Goods vehicles and buses),589,6450,712,587
June 2005 First Open Bidding Exercise,1/6/2005,2005,Cat D (Motorcycles),609,699,775,607
June 2005 First Open Bidding Exercise,1/6/2005,2005,Cat E (Open),1151,18200,1654,1134
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat A (Cars up to 1600cc and 97kW),2196,17289,2636,2186
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat B (Cars above 1600cc or 97kW),1113,15001,1299,1099
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat C (Goods vehicles and buses),593,6101,680,585
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat D (Motorcycles),506,701,765,496
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat E (Open),1152,17999,1538,1108
July 2005 First Open Bidding Exercise,1/7/2005,2005,Cat A (Cars up to 1600cc and 97kW),2220,16112,2445,2218
July 2005 First Open Bidding Exercise,1/7/2005,2005,Cat B (Cars above 1600cc or 97kW),1114,15501,1374,1102
July 2005 First Open Bidding Exercise,1/7/2005,2005,Cat C (Goods vehicles and buses),590,6524,691,590
July 2005 First Open Bidding Exercise,1/7/2005,2005,Cat D (Motorcycles),508,752,602,475
July 2005 First Open Bidding Exercise,1/7/2005,2005,Cat E (Open),1155,17199,1534,1139
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat A (Cars up to 1600cc and 97kW),2203,16500,2758,2197
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat B (Cars above 1600cc or 97kW),1114,16501,1414,1113
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat C (Goods vehicles and buses),596,6501,715,585
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat D (Motorcycles),516,652,666,432
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat E (Open),1181,17199,1561,1119
August 2005 First Open Bidding Exercise,1/8/2005,2005,Cat A (Cars up to 1600cc and 97kW),2195,16502,2843,2194
August 2005 First Open Bidding Exercise,1/8/2005,2005,Cat B (Cars above 1600cc or 97kW),1112,15889,1318,1103
August 2005 First Open Bidding Exercise,1/8/2005,2005,Cat C (Goods vehicles and buses),588,6500,723,588
August 2005 First Open Bidding Exercise,1/8/2005,2005,Cat D (Motorcycles),539,673,765,486
August 2005 First Open Bidding Exercise,1/8/2005,2005,Cat E (Open),1154,16999,1653,1137
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat A (Cars up to 1600cc and 97kW),2199,16101,2421,2190
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat B (Cars above 1600cc or 97kW),1101,16303,1412,1093
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat C (Goods vehicles and buses),598,6420,698,598
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat D (Motorcycles),590,652,731,541
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat E (Open),1199,16296,1575,1197
September 2005 First Open Bidding Exercise,1/9/2005,2005,Cat A (Cars up to 1600cc and 97kW),2194,16461,2854,2194
September 2005 First Open Bidding Exercise,1/9/2005,2005,Cat B (Cars above 1600cc or 97kW),1109,16889,1484,1086
September 2005 First Open Bidding Exercise,1/9/2005,2005,Cat C (Goods vehicles and buses),588,7101,719,560
September 2005 First Open Bidding Exercise,1/9/2005,2005,Cat D (Motorcycles),559,656,715,552
September 2005 First Open Bidding Exercise,1/9/2005,2005,Cat E (Open),1155,16699,1558,1133
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat A (Cars up to 1600cc and 97kW),2202,15309,2428,2179
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat B (Cars above 1600cc or 97kW),1108,14808,1270,1106
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat C (Goods vehicles and buses),587,7264,679,587
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat D (Motorcycles),555,590,778,553
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat E (Open),1139,15699,1433,1092
October 2005 First Open Bidding Exercise,1/10/2005,2005,Cat A (Cars up to 1600cc and 97kW),2785,11991,3188,2784
October 2005 First Open Bidding Exercise,1/10/2005,2005,Cat B (Cars above 1600cc or 97kW),1288,11002,1485,1288
October 2005 First Open Bidding Exercise,1/10/2005,2005,Cat C (Goods vehicles and buses),616,7334,741,616
October 2005 First Open Bidding Exercise,1/10/2005,2005,Cat D (Motorcycles),513,551,627,513
October 2005 First Open Bidding Exercise,1/10/2005,2005,Cat E (Open),1417,12000,1706,1352
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat A (Cars up to 1600cc and 97kW),2808,14501,5927,2759
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat B (Cars above 1600cc or 97kW),1267,14101,2046,1250
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat C (Goods vehicles and buses),587,7911,730,587
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat D (Motorcycles),508,571,640,507
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat E (Open),1441,14503,2115,1427
November 2005 First Open Bidding Exercise,1/11/2005,2005,Cat A (Cars up to 1600cc and 97kW),2786,14700,5624,2779
November 2005 First Open Bidding Exercise,1/11/2005,2005,Cat B (Cars above 1600cc or 97kW),1265,14751,2086,1263
November 2005 First Open Bidding Exercise,1/11/2005,2005,Cat C (Goods vehicles and buses),588,8889,872,582
November 2005 First Open Bidding Exercise,1/11/2005,2005,Cat D (Motorcycles),506,602,585,478
November 2005 First Open Bidding Exercise,1/11/2005,2005,Cat E (Open),1460,14801,1905,1441
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat A (Cars up to 1600cc and 97kW),2834,14001,4781,2761
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat B (Cars above 1600cc or 97kW),1282,14897,1692,1276
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat C (Goods vehicles and buses),587,8711,717,587
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat D (Motorcycles),507,579,653,503
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat E (Open),1408,14505,2002,1408
December 2005 First Open Bidding Exercise,1/12/2005,2005,Cat A (Cars up to 1600cc and 97kW),2792,13700,4171,2790
December 2005 First Open Bidding Exercise,1/12/2005,2005,Cat B (Cars above 1600cc or 97kW),1267,13301,1499,1255
December 2005 First Open Bidding Exercise,1/12/2005,2005,Cat C (Goods vehicles and buses),594,8501,694,575
December 2005 First Open Bidding Exercise,1/12/2005,2005,Cat D (Motorcycles),534,554,671,527
December 2005 First Open Bidding Exercise,1/12/2005,2005,Cat E (Open),1414,14200,2112,1406
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat A (Cars up to 1600cc and 97kW),2858,12081,3309,2858
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat B (Cars above 1600cc or 97kW),1271,9001,1386,1261
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat C (Goods vehicles and buses),587,5010,672,579
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat D (Motorcycles),510,552,569,485
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat E (Open),1394,13302,1927,1386
January 2004 First Open Bidding Exercise,1/1/2004,2004,Cat A (Cars up to 1600cc and 97kW),1919,23801,2549,1913
January 2004 First Open Bidding Exercise,1/1/2004,2004,Cat B (Cars above 1600cc or 97kW),1158,24293,1516,1158
January 2004 First Open Bidding Exercise,1/1/2004,2004,Cat C (Goods vehicles and buses),688,6119,808,688
January 2004 First Open Bidding Exercise,1/1/2004,2004,Cat D (Motorcycles),562,251,892,562
January 2004 First Open Bidding Exercise,1/1/2004,2004,Cat E (Open),1162,24019,1655,1145
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat A (Cars up to 1600cc and 97kW),1912,24001,2616,1898
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat B (Cars above 1600cc or 97kW),1160,22002,1468,1154
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat C (Goods vehicles and buses),717,5502,956,716
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat D (Motorcycles),700,210,1116,695
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat E (Open),1152,22801,1724,1150
February 2004 First Open Bidding Exercise,1/2/2004,2004,Cat A (Cars up to 1600cc and 97kW),1917,24489,2701,1905
February 2004 First Open Bidding Exercise,1/2/2004,2004,Cat B (Cars above 1600cc or 97kW),1156,23508,1474,1149
February 2004 First Open Bidding Exercise,1/2/2004,2004,Cat C (Goods vehicles and buses),688,5497,804,688
February 2004 First Open Bidding Exercise,1/2/2004,2004,Cat D (Motorcycles),557,189,816,554
February 2004 First Open Bidding Exercise,1/2/2004,2004,Cat E (Open),1170,24016,1678,1164
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat A (Cars up to 1600cc and 97kW),1925,24389,2534,1917
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat B (Cars above 1600cc or 97kW),1162,22001,1404,1158
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat C (Goods vehicles and buses),689,5700,802,678
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat D (Motorcycles),561,169,694,530
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat E (Open),1154,23801,1402,1150
March 2004 First Open Bidding Exercise,1/3/2004,2004,Cat A (Cars up to 1600cc and 97kW),1923,24597,2539,1920
March 2004 First Open Bidding Exercise,1/3/2004,2004,Cat B (Cars above 1600cc or 97kW),1163,25699,1516,1147
March 2004 First Open Bidding Exercise,1/3/2004,2004,Cat C (Goods vehicles and buses),688,7226,980,681
March 2004 First Open Bidding Exercise,1/3/2004,2004,Cat D (Motorcycles),560,203,740,523
March 2004 First Open Bidding Exercise,1/3/2004,2004,Cat E (Open),1159,25492,1615,1148
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat A (Cars up to 1600cc and 97kW),1919,24940,2613,1905
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat B (Cars above 1600cc or 97kW),1160,25058,1445,1153
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat C (Goods vehicles and buses),699,8658,1071,694
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat D (Motorcycles),587,456,1070,583
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat E (Open),1156,26401,1481,1135
April 2004 First Open Bidding Exercise,1/4/2004,2004,Cat A (Cars up to 1600cc and 97kW),1937,26689,3386,1928
April 2004 First Open Bidding Exercise,1/4/2004,2004,Cat B (Cars above 1600cc or 97kW),949,28001,1350,948
April 2004 First Open Bidding Exercise,1/4/2004,2004,Cat C (Goods vehicles and buses),638,12809,1042,616
April 2004 First Open Bidding Exercise,1/4/2004,2004,Cat D (Motorcycles),537,851,1181,530
April 2004 First Open Bidding Exercise,1/4/2004,2004,Cat E (Open),1039,28339,1500,1030
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat A (Cars up to 1600cc and 97kW),1947,27564,3042,1947
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat B (Cars above 1600cc or 97kW),939,28022,1347,939
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat C (Goods vehicles and buses),635,15202,907,634
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat D (Motorcycles),503,853,840,488
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat E (Open),1048,28108,1439,1043
May 2004 First Open Bidding Exercise,1/5/2004,2004,Cat A (Cars up to 1600cc and 97kW),1943,27507,2565,1943
May 2004 First Open Bidding Exercise,1/5/2004,2004,Cat B (Cars above 1600cc or 97kW),934,26700,1192,930
May 2004 First Open Bidding Exercise,1/5/2004,2004,Cat C (Goods vehicles and buses),653,13089,853,639
May 2004 First Open Bidding Exercise,1/5/2004,2004,Cat D (Motorcycles),507,803,912,503
May 2004 First Open Bidding Exercise,1/5/2004,2004,Cat E (Open),1037,28000,1372,1033
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat A (Cars up to 1600cc and 97kW),1933,27501,2236,1922
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat B (Cars above 1600cc or 97kW),932,27990,1175,932
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat C (Goods vehicles and buses),631,11101,839,624
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat D (Motorcycles),514,801,1301,263
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat E (Open),1032,28101,1489,1029
June 2004 First Open Bidding Exercise,1/6/2004,2004,Cat A (Cars up to 1600cc and 97kW),1934,28798,2722,1927
June 2004 First Open Bidding Exercise,1/6/2004,2004,Cat B (Cars above 1600cc or 97kW),937,30300,1374,930
June 2004 First Open Bidding Exercise,1/6/2004,2004,Cat C (Goods vehicles and buses),645,9003,879,640
June 2004 First Open Bidding Exercise,1/6/2004,2004,Cat D (Motorcycles),504,1001,829,295
June 2004 First Open Bidding Exercise,1/6/2004,2004,Cat E (Open),1032,30301,1473,1019
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat A (Cars up to 1600cc and 97kW),1944,28331,2302,1944
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat B (Cars above 1600cc or 97kW),932,30400,1217,932
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat C (Goods vehicles and buses),637,8989,801,635
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat D (Motorcycles),750,722,1199,746
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat E (Open),1030,29999,1585,946
July 2004 First Open Bidding Exercise,1/7/2004,2004,Cat A (Cars up to 1600cc and 97kW),1941,27769,2193,1941
July 2004 First Open Bidding Exercise,1/7/2004,2004,Cat B (Cars above 1600cc or 97kW),940,28990,1154,933
July 2004 First Open Bidding Exercise,1/7/2004,2004,Cat C (Goods vehicles and buses),636,8626,804,617
July 2004 First Open Bidding Exercise,1/7/2004,2004,Cat D (Motorcycles),709,658,1006,700
July 2004 First Open Bidding Exercise,1/7/2004,2004,Cat E (Open),1041,28499,1411,1031
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat A (Cars up to 1600cc and 97kW),1933,27019,2104,1928
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat B (Cars above 1600cc or 97kW),932,27001,1107,915
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat C (Goods vehicles and buses),632,8503,837,631
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat D (Motorcycles),503,551,913,490
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat E (Open),1111,27792,1436,1104
August 2004 First Open Bidding Exercise,1/8/2004,2004,Cat A (Cars up to 1600cc and 97kW),1934,26298,2145,1932
August 2004 First Open Bidding Exercise,1/8/2004,2004,Cat B (Cars above 1600cc or 97kW),940,27086,1095,938
August 2004 First Open Bidding Exercise,1/8/2004,2004,Cat C (Goods vehicles and buses),650,8192,823,650
August 2004 First Open Bidding Exercise,1/8/2004,2004,Cat D (Motorcycles),509,652,899,499
August 2004 First Open Bidding Exercise,1/8/2004,2004,Cat E (Open),1038,27295,1365,1035
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat A (Cars up to 1600cc and 97kW),1938,25797,2237,1932
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat B (Cars above 1600cc or 97kW),949,26301,1065,947
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat C (Goods vehicles and buses),631,7300,772,629
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat D (Motorcycles),512,564,787,511
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat E (Open),1034,26401,1378,1032
September 2004 First Open Bidding Exercise,1/9/2004,2004,Cat A (Cars up to 1600cc and 97kW),1936,26801,2628,1927
September 2004 First Open Bidding Exercise,1/9/2004,2004,Cat B (Cars above 1600cc or 97kW),934,27799,1214,926
September 2004 First Open Bidding Exercise,1/9/2004,2004,Cat C (Goods vehicles and buses),631,7500,743,626
September 2004 First Open Bidding Exercise,1/9/2004,2004,Cat D (Motorcycles),509,701,874,501
September 2004 First Open Bidding Exercise,1/9/2004,2004,Cat E (Open),1031,27500,1580,1027
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat A (Cars up to 1600cc and 97kW),1939,24189,2126,1937
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat B (Cars above 1600cc or 97kW),934,26101,1129,934
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat C (Goods vehicles and buses),632,6797,710,626
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat D (Motorcycles),500,699,649,496
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat E (Open),1029,26199,1300,984
October 2004 First Open Bidding Exercise,1/10/2004,2004,Cat A (Cars up to 1600cc and 97kW),2523,23001,3106,2522
October 2004 First Open Bidding Exercise,1/10/2004,2004,Cat B (Cars above 1600cc or 97kW),1145,23001,1505,1145
October 2004 First Open Bidding Exercise,1/10/2004,2004,Cat C (Goods vehicles and buses),678,6300,795,677
October 2004 First Open Bidding Exercise,1/10/2004,2004,Cat D (Motorcycles),507,652,774,499
October 2004 First Open Bidding Exercise,1/10/2004,2004,Cat E (Open),1340,22000,2199,1317
October 2004 Second Open Bidding Exercise,15/10/2004,2004,Cat A (Cars up to 1600cc and 97kW),2515,23784,3805,2514
October 2004 Second Open Bidding Exercise,15/10/2004,2004,Cat B (Cars above 1600cc or 97kW),1137,23005,1434,1137
October 2004 Second Open Bidding Exercise,15/10/2004,2004,Cat C (Goods vehicles and buses),678,5989,761,672
October 2004 Second Open Bidding Exercise,15/10/2004,2004,Cat D (Motorcycles),503,602,751,489
October 2004 Second Open Bidding Exercise,15/10/2004,2004,Cat E (Open),1381,23369,1858,1381
November 2004 First Open Bidding Exercise,1/11/2004,2004,Cat A (Cars up to 1600cc and 97kW),2514,22496,3115,2507
November 2004 First Open Bidding Exercise,1/11/2004,2004,Cat B (Cars above 1600cc or 97kW),1137,21301,1323,1131
November 2004 First Open Bidding Exercise,1/11/2004,2004,Cat C (Goods vehicles and buses),673,5795,797,670
November 2004 First Open Bidding Exercise,1/11/2004,2004,Cat D (Motorcycles),507,651,765,504
November 2004 First Open Bidding Exercise,1/11/2004,2004,Cat E (Open),1359,21798,1835,1353
November 2004 Second Open Bidding Exercise,15/11/2004,2004,Cat A (Cars up to 1600cc and 97kW),2514,22001,3095,2507
November 2004 Second Open Bidding Exercise,15/11/2004,2004,Cat B (Cars above 1600cc or 97kW),1137,20300,1326,1135
November 2004 Second Open Bidding Exercise,15/11/2004,2004,Cat C (Goods vehicles and buses),678,5001,803,648
November 2004 Second Open Bidding Exercise,15/11/2004,2004,Cat D (Motorcycles),513,611,596,512
November 2004 Second Open Bidding Exercise,15/11/2004,2004,Cat E (Open),1336,21999,1784,1306
December 2004 First Open Bidding Exercise,1/12/2004,2004,Cat A (Cars up to 1600cc and 97kW),2520,22463,3224,2520
December 2004 First Open Bidding Exercise,1/12/2004,2004,Cat B (Cars above 1600cc or 97kW),1143,21302,1402,1141
December 2004 First Open Bidding Exercise,1/12/2004,2004,Cat C (Goods vehicles and buses),675,4851,791,675
December 2004 First Open Bidding Exercise,1/12/2004,2004,Cat D (Motorcycles),502,663,700,502
December 2004 First Open Bidding Exercise,1/12/2004,2004,Cat E (Open),1342,22809,1698,1342
December 2004 Second Open Bidding Exercise,15/12/2004,2004,Cat A (Cars up to 1600cc and 97kW),2520,20117,2709,2520
December 2004 Second Open Bidding Exercise,15/12/2004,2004,Cat B (Cars above 1600cc or 97kW),1139,18708,1270,1128
December 2004 Second Open Bidding Exercise,15/12/2004,2004,Cat C (Goods vehicles and buses),702,4301,829,693
December 2004 Second Open Bidding Exercise,15/12/2004,2004,Cat D (Motorcycles),500,601,690,472
December 2004 Second Open Bidding Exercise,15/12/2004,2004,Cat E (Open),1366,21298,1766,1364
January 2003 First Open Bidding Exercise,1/1/2003,2003,Cat A (Cars up to 1600cc and 97kW),1342,28489,2153,1335
January 2003 First Open Bidding Exercise,1/1/2003,2003,Cat B (Cars above 1600cc or 97kW),707,29099,1128,707
January 2003 First Open Bidding Exercise,1/1/2003,2003,Cat C (Goods vehicles and buses),577,13101,1017,566
January 2003 First Open Bidding Exercise,1/1/2003,2003,Cat D (Motorcycles),840,1,795,795
January 2003 First Open Bidding Exercise,1/1/2003,2003,Cat E (Open),1094,29001,1645,1094
January 2003 Second Open Bidding Exercise,15/01/2003,2003,Cat A (Cars up to 1600cc and 97kW),1333,26499,1651,1325
January 2003 Second Open Bidding Exercise,15/01/2003,2003,Cat B (Cars above 1600cc or 97kW),662,25028,919,661
January 2003 Second Open Bidding Exercise,15/01/2003,2003,Cat C (Goods vehicles and buses),605,11910,814,605
January 2003 Second Open Bidding Exercise,15/01/2003,2003,Cat D (Motorcycles),1088,1,868,868
January 2003 Second Open Bidding Exercise,15/01/2003,2003,Cat E (Open),1099,27416,1515,1099
February 2003 First Open Bidding Exercise,1/2/2003,2003,Cat A (Cars up to 1600cc and 97kW),1339,31003,2405,1339
February 2003 First Open Bidding Exercise,1/2/2003,2003,Cat B (Cars above 1600cc or 97kW),663,33657,1342,656
February 2003 First Open Bidding Exercise,1/2/2003,2003,Cat C (Goods vehicles and buses),582,12586,864,578
February 2003 First Open Bidding Exercise,1/2/2003,2003,Cat D (Motorcycles),877,1,408,408
February 2003 First Open Bidding Exercise,1/2/2003,2003,Cat E (Open),1090,33901,1906,1090
February 2003 Second Open Bidding Exercise,15/02/2003,2003,Cat A (Cars up to 1600cc and 97kW),1340,29999,2251,1335
February 2003 Second Open Bidding Exercise,15/02/2003,2003,Cat B (Cars above 1600cc or 97kW),663,30699,1148,659
